Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project1.PrjPCB|ReportField=ProjectFullPath~C:\Users\antif\Desktop\pcb design of voltage and current measurement device\designs\PCB_Project1.PrjPCB|ReportField=Title~Bill of Materials For Project [PCB_Project1.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~34|ReportField=ReportTime~19:34:07|ReportField=ReportDate~10.03.2018|ReportField=ReportDateTime~10.03.2018 19:34:07|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project1.PrjPCB|ReportField=DataSourceFullPath~C:\Users\antif\Desktop\pcb design of voltage and current measurement device\designs\PCB_Project1.PrjPCB
Cap Semi|Capacitor (Semiconductor SIM Model)|C1, C2, C3|C1206|Cap Semi|3
C0805|Ceramic Chip Capacitor - Standard|C4, C5, C6, C7, C8, C9, C10, C11|0805|C0805|8
BZT52C6V8-V-GS08|Imported|CR1|SOD123|BZT52C6V8-V-GS08|1
Header 2|Header, 2-Pin|P1, P2|HDR1X2|Header 2|2
ERJ6EN|Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 0805 Size, 0.1 W|R1, R2, R3, R4, R6, R7, R8, R10, R11, R12, R13, R14|6-0805|ERJ6EN|12
ERJM1WT|Low Resistance Value Chip Resistor, 2m Ohm to 4m Ohm Range, 1% and 5% Tolerance, 2512 Size, 1 W|R5|M1WT-2512|ERJM1WT|1
ERJ8EN|Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W|R9|8-1206|ERJ8EN|1
DCP010505B_DUA_7|Imported|U1, U2|DUA7|DCP010505B_DUA_7|2
AMC1200_DUB_8|Imported|U3|DUB8|AMC1200_DUB_8|1
OPA376_DCK_5|Imported|U4, U6|DCK5|OPA376_DCK_5|2
AMC1100_DUB_8|Imported|U5|DUB8|AMC1100_DUB_8|1
